timestamp_iso,power_W
2025-08-22T21:55:32.305,78.4
2025-08-22T21:55:33.509,78.4
2025-08-22T21:55:34.714,78.4
2025-08-22T21:55:35.934,78.4
2025-08-22T21:55:37.142,78.4
2025-08-22T21:55:38.359,78.4
2025-08-22T21:55:39.561,78.4
2025-08-22T21:55:40.774,78.4
2025-08-22T21:55:42.000,78.4
2025-08-22T21:55:43.214,78.4
2025-08-22T21:55:44.474,78.4
2025-08-22T21:55:45.685,78.4
2025-08-22T21:55:46.892,78.4
2025-08-22T21:55:48.095,78.4
2025-08-22T21:55:49.295,78.4
2025-08-22T21:55:50.509,78.4
2025-08-22T21:55:51.714,78.4
2025-08-22T21:55:52.919,78.4
2025-08-22T21:55:54.122,78.4
2025-08-22T21:55:55.343,78.4
2025-08-22T21:55:56.555,78.4
2025-08-22T21:55:57.773,78.4
2025-08-22T21:55:58.976,78.4
2025-08-22T21:56:00.187,78.4
2025-08-22T21:56:01.473,78.4
2025-08-22T21:56:02.681,78.4
2025-08-22T21:56:03.883,78.4
2025-08-22T21:56:05.104,78.4
2025-08-22T21:56:06.313,78.4
2025-08-22T21:56:07.562,78.4
2025-08-22T21:56:08.775,78.4
2025-08-22T21:56:09.994,78.4
2025-08-22T21:56:11.213,78.4
2025-08-22T21:56:12.433,78.4
2025-08-22T21:56:13.645,78.4
2025-08-22T21:56:14.855,78.4
2025-08-22T21:56:16.061,78.4
2025-08-22T21:56:17.283,78.4
2025-08-22T21:56:18.490,78.4
2025-08-22T21:56:19.713,78.4
2025-08-22T21:56:20.953,78.4
2025-08-22T21:56:22.164,78.4
2025-08-22T21:56:23.366,78.4
2025-08-22T21:56:24.571,78.4
2025-08-22T21:56:25.781,78.4
2025-08-22T21:56:26.984,78.4
2025-08-22T21:56:28.218,78.4
2025-08-22T21:56:29.451,78.4
2025-08-22T21:56:30.667,78.4
2025-08-22T21:56:31.868,78.4
2025-08-22T21:56:33.094,78.4
2025-08-22T21:56:34.308,78.4
2025-08-22T21:56:35.527,78.4
2025-08-22T21:56:36.743,78.4
2025-08-22T21:56:37.961,78.4
2025-08-22T21:56:39.261,78.4
2025-08-22T21:56:40.477,78.4
2025-08-22T21:56:41.692,78.4
2025-08-22T21:56:42.907,78.4
2025-08-22T21:56:44.114,78.4
2025-08-22T21:56:45.318,78.4
2025-08-22T21:56:46.522,78.4
2025-08-22T21:56:47.735,78.4
2025-08-22T21:56:48.944,78.4
2025-08-22T21:56:50.224,78.4
2025-08-22T21:56:51.433,78.4
2025-08-22T21:56:52.650,78.4
2025-08-22T21:56:53.863,78.4
2025-08-22T21:56:55.078,78.4
2025-08-22T21:56:56.278,78.4
2025-08-22T21:56:57.511,78.4
2025-08-22T21:56:58.716,78.4
2025-08-22T21:56:59.923,78.4
2025-08-22T21:57:01.265,78.4
2025-08-22T21:57:02.468,78.4
2025-08-22T21:57:03.669,78.4
2025-08-22T21:57:04.880,78.4
2025-08-22T21:57:06.085,78.4
2025-08-22T21:57:07.293,78.4
2025-08-22T21:57:08.498,78.4
2025-08-22T21:57:09.817,78.4
2025-08-22T21:57:11.016,78.4
2025-08-22T21:57:12.227,78.4
2025-08-22T21:57:13.432,78.4
2025-08-22T21:57:14.637,78.4
2025-08-22T21:57:15.840,78.4
2025-08-22T21:57:17.044,78.4
2025-08-22T21:57:18.254,78.4
2025-08-22T21:57:19.458,78.4
2025-08-22T21:57:20.677,78.4
2025-08-22T21:57:21.897,78.4
2025-08-22T21:57:23.101,78.4
2025-08-22T21:57:24.310,78.4
2025-08-22T21:57:25.515,78.4
2025-08-22T21:57:26.754,78.4
2025-08-22T21:57:27.964,78.4
2025-08-22T21:57:29.181,78.4
2025-08-22T21:57:30.383,78.4
2025-08-22T21:57:32.048,78.4
2025-08-22T21:57:33.259,78.4
2025-08-22T21:57:34.478,78.4
2025-08-22T21:57:35.686,78.4
2025-08-22T21:57:36.895,78.4
2025-08-22T21:57:38.099,78.4
2025-08-22T21:57:39.307,78.4
2025-08-22T21:57:40.621,102.7
2025-08-22T21:57:41.825,102.7
2025-08-22T21:57:43.046,102.7
2025-08-22T21:57:44.275,102.7
2025-08-22T21:57:45.549,102.7
2025-08-22T21:57:46.760,102.7
2025-08-22T21:57:47.976,102.7
2025-08-22T21:57:49.179,102.7
2025-08-22T21:57:50.410,102.7
2025-08-22T21:57:51.621,102.7
2025-08-22T21:57:52.824,102.7
2025-08-22T21:57:54.033,102.7
2025-08-22T21:57:55.289,102.7
2025-08-22T21:57:56.497,102.7
2025-08-22T21:57:57.705,102.7
2025-08-22T21:57:58.929,102.7
2025-08-22T21:58:00.142,102.7
2025-08-22T21:58:01.354,102.7
2025-08-22T21:58:02.572,102.7
2025-08-22T21:58:03.780,102.7
2025-08-22T21:58:04.993,102.7
2025-08-22T21:58:06.203,102.7
2025-08-22T21:58:07.407,102.7
2025-08-22T21:58:08.624,102.7
2025-08-22T21:58:09.829,102.7
2025-08-22T21:58:11.038,102.7
2025-08-22T21:58:12.252,102.7
2025-08-22T21:58:13.459,102.7
2025-08-22T21:58:14.679,102.7
2025-08-22T21:58:15.925,102.7
2025-08-22T21:58:17.131,102.7
2025-08-22T21:58:18.343,102.7
2025-08-22T21:58:19.592,102.7
2025-08-22T21:58:20.800,102.7
2025-08-22T21:58:22.023,102.7
2025-08-22T21:58:23.232,102.7
2025-08-22T21:58:24.444,102.7
2025-08-22T21:58:25.648,102.7
2025-08-22T21:58:26.864,102.7
2025-08-22T21:58:28.068,102.7
2025-08-22T21:58:29.305,102.7
2025-08-22T21:58:30.513,102.7
2025-08-22T21:58:31.718,102.7
2025-08-22T21:58:32.924,102.7
2025-08-22T21:58:34.134,102.7
2025-08-22T21:58:35.342,102.7
2025-08-22T21:58:36.559,102.7
2025-08-22T21:58:37.774,102.7
2025-08-22T21:58:38.977,102.7
2025-08-22T21:58:40.183,102.7
2025-08-22T21:58:41.393,102.7
2025-08-22T21:58:42.682,102.7
2025-08-22T21:58:43.909,102.7
2025-08-22T21:58:45.113,102.7
2025-08-22T21:58:46.317,102.7
2025-08-22T21:58:47.629,102.7
2025-08-22T21:58:48.888,102.7
2025-08-22T21:58:50.096,102.7
2025-08-22T21:58:51.344,102.7
2025-08-22T21:58:52.550,102.7
2025-08-22T21:58:53.779,102.7
2025-08-22T21:58:54.984,102.7
2025-08-22T21:58:56.188,102.7
2025-08-22T21:58:57.402,102.7
2025-08-22T21:58:58.607,102.7
2025-08-22T21:58:59.814,102.7
2025-08-22T21:59:01.041,102.7
